report_month,program,individuals,source_file
2025-10-01,TXHML,116859,interest-list-data-oct-2025.xlsx
2025-11-01,CLASS,96457,interest-list-data-nov-2025.xlsx
2025-11-01,DBMD,2370,interest-list-data-nov-2025.xlsx
2025-11-01,HCS,129657,interest-list-data-nov-2025.xlsx
2025-11-01,MDCP,7172,interest-list-data-nov-2025.xlsx
2025-11-01,STAR_PLUS_HCBS,15887,interest-list-data-nov-2025.xlsx
2025-11-01,TXHML,117033,interest-list-data-nov-2025.xlsx
2025-12-01,CLASS,96447,interest-list-data-dec-2025.xlsx
2025-12-01,DBMD,2400,interest-list-data-dec-2025.xlsx
2025-12-01,HCS,130279,interest-list-data-dec-2025.xlsx
2025-12-01,MDCP,6946,interest-list-data-dec-2025.xlsx
2025-12-01,STAR_PLUS_HCBS,15850,interest-list-data-dec-2025.xlsx
2025-12-01,TXHML,117178,interest-list-data-dec-2025.xlsx
2026-01-01,CLASS,96547,interest-list-data-jan-2026.xlsx
2026-01-01,DBMD,2447,interest-list-data-jan-2026.xlsx
2026-01-01,HCS,130764,interest-list-data-jan-2026.xlsx
2026-01-01,MDCP,6825,interest-list-data-jan-2026.xlsx
2026-01-01,STAR_PLUS_HCBS,15144,interest-list-data-jan-2026.xlsx
2026-01-01,TXHML,117175,interest-list-data-jan-2026.xlsx
