bill_code,program,service_category,service_description,bill_description,is_cds,is_facility_based,funding_authority,unit_measure,units,payment,current_rate,attendant_cost,attendant_cost_pct,attendant_hours_per_unit,wage_required,rate_after_increase,rate_effective_date,sfy26_est_hours,sfy27_est_hours
2123M0983,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site (Enhanced) LVL 1,False,False,1915(c) waiver,1 hour,543.75,8390.31,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,571.97,571.97
2123M0984,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,64316.5,481087.42,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,27061.81,27061.81
2123M0985,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 On-Site,False,False,1915(c) waiver,1 hour,582194.4,5618201.74,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,404190.79,404190.79
2123M0986,HCS,ISS,Individualized Skills and Socialization LON 6 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 6 Off-Site,False,False,1915(c) waiver,1 hour,51179.75,789708.4,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,53835.98,53835.98
2123M0987,HCS,ISS,Individualized Skills and Socialization LON 6 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 6 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,2077.5,48634.71,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,4370.64,4370.64
2123M0988,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,21739.25,209783.99,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,15092.56,15092.56
2123M0989,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 On-Site,False,False,1915(c) waiver,1 hour,1597941.86,15420224.13,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,1109377.53,1109377.53
2123M0990,HCS,ISS,Individualized Skills and Socialization LON 8 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 8 Off-Site,False,False,1915(c) waiver,1 hour,133245.5,2055999.96,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,140160.94,140160.94
2123M0991,HCS,ISS,Individualized Skills and Socialization LON 8 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 8 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,2437.75,57068.3,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,5128.54,5128.54
2123M0992,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,45499.25,439069.79,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,31588.04,31588.04
2123M0993,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 On-Site,False,False,1915(c) waiver,1 hour,61936.0,1543445.12,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,130300.96,130300.96
2123M0994,HCS,ISS,Individualized Skills and Socialization LON 9 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 9 Off-Site,False,False,1915(c) waiver,1 hour,8737.25,217732.27,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,18381.43,18381.43
2123M0996,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,901.5,22465.38,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,1896.58,1896.58
2123M1095,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,160278.75,1048223.8,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,47207.22,47207.22
2123M1096,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,463399.75,3466230.13,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,194980.08,194980.08
2123M1097,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,233853.5,2256687.99,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,162353.73,162353.73
2123M1098,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,333346.5,3216796.12,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,231427.14,231427.14
