report_month,program,years_on_list_bucket,individuals,percent_of_program_total,source_file
2023-12-01,STAR_PLUS_HCBS,4–5,7,0.0017798,interest-list-data-dec-2023.xlsx
2023-12-01,STAR_PLUS_HCBS,5–6,4,0.001017,interest-list-data-dec-2023.xlsx
2023-12-01,STAR_PLUS_HCBS,7–8,8,0.0020341,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,0–1,5841,0.0545918,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,10–11,6949,0.0649476,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,11–12,7764,0.0725648,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,12–13,7559,0.0706488,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,13–14,7792,0.0728265,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,14–15,3588,0.0335346,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,15–16,1,9.3e-06,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,1–2,5988,0.0559658,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,2–3,6210,0.0580406,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,3–4,6535,0.0610782,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,4–5,8629,0.0806494,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,5–6,8473,0.0791914,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,6–7,8638,0.0807335,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,7–8,8865,0.0828551,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,8–9,7392,0.069088,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,9–10,6770,0.0632746,interest-list-data-dec-2023.xlsx
2024-01-01,CLASS,0–1,2461,0.0298459,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,10–11,4702,0.0570237,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,11–12,5027,0.0609651,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,12–13,5888,0.0714069,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,13–14,6784,0.0822732,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,14–15,5891,0.0714433,interest-list-data-jan-2024.xlsx
